O_order;O_code;O_dlots;O_Nlot;O_aval;O_daval;O_year_p;O_countryp_code;O_finstr;R_bids;R_dbids;O_dnegotiated;O_scope;E_Pref;R_pcost;E_indice;O_catpro;E_GDP_1;E_DTF_1;E_distance;viable
485;137067;1;2;2300;1;2015;XK;EULEX;8;1;0;1;153333,33;152571,43;0,995;2;6,581;67;1563;0
486;137067;1;3;2160;1;2015;XK;EULEX;8;1;0;1;144000;68000;0,4722;2;6,581;67;1563;0
487;133791;0;1;5800;1;2014;XK;IPA;9;1;0;0;386666,67;329937,81;0,8533;1;6,503;66,71;1563;0
488;135432;1;4;15600;1;2015;TN;ENI;9;1;1;0;1040000;1131826;1,0883;1;47,599;82,17;1628;0
489;135445;1;5;2300;1;2014;BA;IPA;9;1;0;0;153333,33;135852;0,886;2;17,603;69,55;1307;0
490;135882;1;1;5500;1;2014;XK;IPA;12;1;0;0;366666,67;298234,4;0,8134;3;6,503;66,71;1563;0
491;135432;1;3;10500;1;2015;TN;ENI;13;1;0;0;700000;657733;0,9396;1;47,599;82,17;1628;0
492;138883;0;1;1500;1;2017;LB;ENI;17;1;0;1;100000;108593,75;1,0859;3;42,911;71,96;3161;0
494;135407;1;4;200;1;2014;XK;EULEX;;1;0;1;13333,33;4999,99;0,375;3;6,503;66,71;1563;0
495;135407;1;8;120;1;2014;XK;EULEX;;1;0;1;8000;4509,13;0,5636;3;6,503;66,71;1563;0
496;136883;1;1;150;1;2015;XK;EULEX;;1;0;1;10000;16900;1,69;1;6,581;67;1563;0
497;136883;1;4;500;1;2015;XK;EULEX;;1;0;1;33333,33;23300;0,699;3;6,581;67;1563;0
498;136883;1;5;400;1;2015;XK;EULEX;;1;0;1;26666,67;24240;0,909;3;6,581;67;1563;0
499;137249;1;1;3800;1;2015;JO;ENI;;1;0;0;253333,33;239000;0,9434;1;29,501;78,2;3324;0
501;137546;1;1;63000;1;2015;EG;ENI;;1;0;0;4200000;2962372;0,7053;3;239,482;71,15;3225;0
502;137546;1;2;20000;1;2015;EG;ENI;;1;0;0;1333333,33;1790710;1,343;3;239,482;71,15;3225;0
503;137546;1;3;76500;1;2015;EG;ENI;;1;0;0;5100000;5170988,96;1,0139;3;239,482;71,15;3225;0
504;137546;1;4;20000;1;2015;EG;ENI;;1;0;0;1333333,33;1529517,5;1,1471;3;239,482;71,15;3225;0
505;137546;1;5;9500;1;2015;EG;ENI;;1;0;0;633333,33;634647;1,0021;3;239,482;71,15;3225;0
506;137969;1;3;2870;1;2016;XK;EULEX;;1;0;0;191333,33;145696,37;0,7615;2;6,85;67,7;1563;0
118;131546;1;2;8500;1;2015;TK;IPA;1;1;1;0;566666,67;805480;1,4214;1;1025,467;72,83;2761;1
120;132275;1;1;26000;1;2016;TK;IPA;1;1;0;0;1733333,33;2466190;1,4228;1;1087,876;73,26;3149;1
122;134936;1;1;15000;1;2015;TK;IPA;1;1;1;0;1000000;1498340;1,4983;3;1025,467;72,83;3018;1
123;135445;1;4;4100;1;2014;BA;IPA;1;1;0;0;273333,33;212000;0,7756;4;17,603;69,55;1307;1
124;135445;1;6;1500;1;2014;BA;IPA;1;1;0;0;100000;102000;1,02;1;17,603;69,55;1307;1
127;135634;1;1;4600;1;2016;SB;IPA;1;1;0;0;306666,67;314532,22;1,0256;3;40,184;72,13;1370;1
128;135702;1;1;1400;1;2015;MK;IPA;1;1;1;0;93333,33;89740;0,9615;4;10,222;74,43;1629;1
129;135806;1;1;6000;1;2015;TK;IPA;1;1;0;0;400000;495650;1,2391;2;1025,467;72,83;2516;1
133;135921;0;1;10000;1;2015;TK;IPA;1;1;0;0;666666,67;1145740;1,7186;2;1025,467;72,83;2516;1
135;136150;1;3;650;1;2014;XK;EULEX;1;1;0;1;43333,33;62912,33;1,4518;1;6,503;66,71;1563;1
137;136462;1;1;700;1;2015;BA;IPA;1;1;0;0;46666,67;71725;1,537;3;17,805;69,6;1307;1
138;136529;1;1;7500;1;2015;TK;IPA;1;1;1;0;500000;555842;1,1117;2;1025,467;72,83;2516;1
139;136529;1;2;3000;1;2015;TK;IPA;1;1;0;0;200000;197618;0,9881;2;1025,467;72,83;2516;1
140;136529;1;3;2400;1;2015;TK;IPA;1;1;0;0;160000;92215;0,5763;1;1025,467;72,83;2516;1
141;136542;1;3;870;1;2016;TK;IPA;1;1;0;0;58000;55883,9;0,9635;3;1087,876;73,26;2516;1
142;136631;1;1;7300;1;2016;TK;IPA;1;1;0;0;486666,67;474408;0,9748;2;1087,876;73,26;2516;1
143;136774;1;1;706,9;1;2015;XK;EULEX;1;1;0;0;47126,67;78974,72;1,6758;3;6,581;67;1563;1
144;136774;1;3;1537,51;1;2015;XK;EULEX;1;1;0;0;102500,67;172197,69;1,68;2;6,581;67;1563;1
145;136774;1;6;1203,5;1;2015;XK;EULEX;1;1;0;0;80233,33;140935,58;1,7566;3;6,581;67;1563;1
146;136777;0;1;600;1;2015;XK;EULEX;1;1;0;1;40000;41176;1,0294;1;6,581;67;1563;1
150;137033;1;8;3500;1;2015;TK;IPA;1;1;0;0;233333,33;357000;1,53;3;1025,467;72,83;2516;1
157;137646;1;4;800;1;2016;BA;IPA;1;1;0;0;53333,33;72446;1,3584;2;18,353;69,76;1307;1
158;137651;1;5;2800;1;2016;SB;IPA;1;1;0;0;186666,67;261910,95;1,4031;4;40,184;72,13;1370;1
159;138031;1;3;20000;1;2016;TK;IPA;1;1;1;0;1333333,33;1895316;1,4215;3;1087,876;73,26;2928;1
160;138031;1;4;3000;1;2016;TK;IPA;1;1;0;0;200000;219000;1,095;3;1087,876;73,26;2928;1
161;138039;0;1;9000;1;2017;SB;IPA;1;1;0;0;600000;447080;0,7451;2;41,308;72,13;1370;1
162;138162;0;1;4000;1;2016;DZ;ENI;1;1;0;0;266666,67;361748;1,3566;2;189,772;64,21;1567;1
164;138312;1;3;1400;1;2016;TK;IPA;1;1;0;1;93333,33;135417,18;1,4509;3;1087,876;73,26;2516;1
165;138333;1;2;17000;1;2017;TK;IPA;1;1;1;0;1133333,33;1309965;1,1559;4;1122,512;73,26;3105;1
168;138568;1;2;4000;1;2017;BA;IPA;1;1;0;0;266666,67;255800;0,9593;2;18,93;69,76;1307;1
