O_order;O_code;O_dlots;O_Nlot;O_aval;O_daval;O_year_p;O_countryp_code;O_finstr;R_bids;R_dbids;O_dnegotiated;O_scope;E_Pref;R_pcost;E_indice;O_catpro;E_GDP_1;E_DTF_1;E_distance;viable
297;136481;0;1;3000;1;2014;LB;ENI;3;1;0;1;200000;266915;1,3346;4;40,91;71,87;3168;1
299;136555;1;3;750;1;2015;TK;IPA;3;1;0;0;50000;72069;1,4414;1;1025,467;72,83;2516;1
300;136617;1;2;1200;1;2016;BA;IPA;3;1;0;0;80000;117850;1,4731;3;18,353;69,76;1307;1
304;136763;1;1;600;1;2015;XK;EULEX;3;1;0;1;40000;48272;1,2068;1;6,581;67;1563;1
306;136763;1;4;650;1;2015;XK;EULEX;3;1;0;1;43333,33;64989;1,4997;1;6,581;67;1563;1
310;137374;1;1;2000;1;2016;SB;IPA;3;1;0;0;133333,33;145712;1,0928;4;40,184;72,13;1370;1
311;137473;0;1;20000;1;2015;TK;IPA;3;1;0;0;1333333,33;1134000;0,8505;1;1025,467;72,83;2516;1
312;137569;0;1;1500;1;2015;MK;IPA;3;1;0;1;100000;143500;1,435;2;10,222;74,43;1629;1
315;137628;0;1;5250;1;2017;MK;IPA;3;1;0;0;350000;347896;0,994;2;10,925;74,43;1629;1
318;137651;1;2;12000;1;2016;SB;IPA;3;1;0;0;800000;775528,38;0,9694;4;40,184;72,13;1370;1
319;137788;0;1;3500;1;2016;XK;EULEX;3;1;0;1;233333,33;207425;0,889;2;6,85;67,7;1563;1
320;137888;1;1;5000;1;2017;TK;IPA;3;1;0;0;333333,33;304600;0,9138;3;1122,512;73,26;2611;1
321;137888;1;2;3000;1;2017;TK;IPA;3;1;0;0;200000;274000;1,37;4;1122,512;73,26;2611;1
322;137888;1;6;9000;1;2017;TK;IPA;3;1;0;0;600000;629291;1,0488;3;1122,512;73,26;2611;1
323;138047;1;2;7200;1;2017;SB;IPA;3;1;0;0;480000;447000;0,9313;2;41,308;72,13;1370;1
324;138047;1;3;6800;1;2017;SB;IPA;3;1;0;0;453333,33;310000;0,6838;2;41,308;72,13;1370;1
325;138051;0;1;15000;1;2016;TK;IPA;3;1;0;0;1000000;999826;0,9998;3;1087,876;73,26;2516;1
326;138271;0;1;2000;1;2016;TK;IPA;3;1;0;1;133333,33;139340;1,0451;2;1087,876;73,26;3105;1
327;138293;1;2;12000;1;2017;AL;IPA;3;1;0;0;800000;637161;0,7965;1;13,471;72,83;1593;1
328;138312;1;7;700;1;2016;TK;IPA;3;1;0;1;46666,67;52918,25;1,134;3;1087,876;73,26;2516;1
330;138464;1;3;2000;1;2017;TK;IPA;3;1;0;0;133333,33;107000;0,8025;4;1122,512;73,26;2627;1
331;138468;1;2;5500;1;2017;MK;IPA;3;1;0;0;366666,67;222858;0,6078;4;10,925;74,43;1629;1
332;138478;1;1;6500;1;2017;TK;IPA;3;1;0;0;433333,33;279840;0,6458;4;1122,512;73,26;3225;1
333;138478;1;2;3000;1;2017;TK;IPA;3;1;0;0;200000;162000;0,81;4;1122,512;73,26;3225;1
335;138652;1;4;20000;1;2017;AL;IPA;3;1;0;0;1333333,33;1208005,5;0,906;1;13,471;72,83;1709;1
340;138820;1;1;7000;1;2017;TN;ENI;3;1;0;0;466666,67;776273;1,6634;2;48,682;87,74;1628;1
341;138820;1;2;3000;1;2017;TN;ENI;3;1;0;0;200000;109400;0,547;2;48,682;87,74;1628;1
344;133730;1;1;3000;1;2015;TK;IPA;4;1;0;0;200000;298000;1,49;1;1025,467;72,83;2823;1
352;135806;1;2;2000;1;2015;TK;IPA;4;1;0;0;133333,33;127205;0,954;2;1025,467;72,83;2516;1
354;135892;1;2;2300;1;2014;MK;IPA;4;1;0;0;153333,33;230010;1,5001;2;9,864;74,43;1629;1
358;136166;1;1;3000;1;2014;BA;IPA;4;1;0;0;200000;260527;1,3026;2;17,603;69,55;1307;1
359;136387;1;2;1000;1;2015;TK;IPA;4;1;0;0;66666,67;28251;0,4238;1;1025,467;72,83;2516;1
360;136463;0;1;4000;1;2014;TN;ENI;4;1;0;1;266666,67;228144;0,8555;2;46,226;81,91;1628;1
361;136555;1;2;2500;1;2015;TK;IPA;4;1;0;0;166666,67;169770;1,0186;2;1025,467;72,83;2516;1
362;136649;1;2;22000;1;2017;TK;IPA;4;1;0;0;1466666,67;1469952;1,0022;4;1122,512;73,26;2516;1
364;136868;0;1;17000;1;2015;XK;EULEX;4;1;0;0;1133333,33;1113000;0,9821;1;6,581;67;1563;1
366;137033;1;5;2800;1;2015;TK;IPA;4;1;0;0;186666,67;126080;0,6754;2;1025,467;72,83;2516;1
369;137257;1;1;15000;1;2017;TK;IPA;4;1;0;0;1000000;759900;0,7599;4;1122,512;73,26;2916;1
371;137535;0;1;6000;1;2015;TN;ENI;4;1;0;1;400000;299334;0,7483;2;47,599;82,17;1972;1
372;137646;1;2;9000;1;2016;BA;IPA;4;1;0;0;600000;778750;1,2979;2;18,353;69,76;1307;1
373;137646;1;3;3300;1;2016;BA;IPA;4;1;0;0;220000;268400;1,22;2;18,353;69,76;1307;1
374;137651;1;6;600;1;2016;SB;IPA;4;1;0;0;40000;36670;0,9168;4;40,184;72,13;1370;1
375;137655;0;2;3000;1;2015;TK;IPA;4;1;0;1;200000;299948;1,4997;2;1025,467;72,83;2516;1
376;137888;1;4;15000;1;2017;TK;IPA;4;1;0;0;1000000;968019;0,968;4;1122,512;73,26;2611;1
377;137911;1;1;20000;1;2016;TK;IPA;4;1;0;0;1333333,33;1565328;1,174;3;1087,876;73,26;2658;1
378;138065;1;1;5000;1;2016;BA;IPA;4;1;0;0;333333,33;113400;0,3402;4;18,353;69,76;1307;1
379;138100;1;4;4500;1;2016;TK;IPA;4;1;0;0;300000;298000;0,9933;4;1087,876;73,26;2520;1
380;138150;0;1;6000;1;2017;MK;IPA;4;1;0;0;400000;372650;0,9316;1;10,925;74,43;1629;1
381;138323;1;1;4000;1;2017;XK;EULEX;4;1;0;1;266666,67;236109,48;0,8854;2;7,129;67,7;1563;1
384;138364;0;1;15000;1;2017;TK;IPA;4;1;0;0;1000000;1123000;1,123;2;1122,512;73,26;3018;1
385;138464;1;2;2000;1;2017;TK;IPA;4;1;0;0;133333,33;144000;1,08;4;1122,512;73,26;2627;1
386;138468;1;1;18000;1;2017;MK;IPA;4;1;0;0;1200000;1149683;0,9581;2;10,925;74,43;1629;1
387;138564;1;1;4500;1;2017;TK;IPA;4;1;0;0;300000;287735;0,9591;4;1122,512;73,26;2224;1
388;138564;1;2;3000;1;2017;TK;IPA;4;1;0;0;200000;177400;0,887;4;1122,512;73,26;2224;1
396;133974;0;1;12000;1;2014;XK;IPA;5;1;0;0;800000;391700;0,4896;2;6,503;66,71;1563;1
401;135867;1;3;2500;1;2014;ME;IPA;5;1;0;0;166666,67;144847,07;0,8691;2;4,304;79,22;1466;1
402;135881;1;2;3800;1;2014;LB;ENI;5;1;0;0;253333,33;169556;0,6693;4;40,91;71,87;3168;1
403;135997;1;2;3000;1;2014;MK;IPA;5;1;1;1;200000;170000;0,85;4;9,864;74,43;1629;1
404;136086;1;1;7900;1;2015;BA;IPA;5;1;0;0;526666,67;473594;0,8992;2;17,805;69,6;1307;1
405;136239;1;1;7000;1;2014;MK;IPA;5;1;0;0;466666,67;336866;0,7219;2;9,864;74,43;1629;1
408;136660;1;2;15180;1;2015;LB;ENI;5;1;0;0;1012000;888430;0,8779;2;41,73;72,3;3136;1
409;136890;1;3;3500;1;2016;TK;IPA;5;1;0;0;233333,33;199425;0,8547;4;1087,876;73,26;2811;1
411;137124;1;2;6000;1;2016;MK;IPA;5;1;0;0;400000;247869;0,6197;4;10,614;74,43;1629;1
413;137465;0;1;7500;1;2017;AL;IPA;5;1;0;0;500000;464003;0,928;2;13,471;72,83;1593;1
415;137598;1;4;4500;1;2016;MK;IPA;5;1;0;0;300000;221597,21;0,7387;2;10,614;74,43;1630;1
416;137598;1;5;8800;1;2016;MK;IPA;5;1;0;0;586666,67;366790;0,6252;4;10,614;74,43;1630;1
417;137651;1;4;4200;1;2016;SB;IPA;5;1;0;0;280000;242400;0,8657;4;40,184;72,13;1370;1
418;137651;1;7;900;1;2016;SB;IPA;5;1;0;0;60000;50540;0,8423;4;40,184;72,13;1370;1
419;137656;1;2;1000;1;2015;MK;IPA;5;1;0;0;66666,67;33400;0,501;4;10,222;74,43;1563;1
420;137656;1;3;1000;1;2015;MK;IPA;5;1;0;0;66666,67;45800;0,687;4;10,222;74,43;1563;1
423;137911;1;2;10000;1;2016;TK;IPA;5;1;0;0;666666,67;623000;0,9345;4;1087,876;73,26;2658;1
426;138127;1;1;2000;1;2016;TK;IPA;5;1;0;0;133333,33;144942;1,0871;1;1087,876;73,26;3266;1
428;138386;1;4;3000;1;2016;TK;IPA;5;1;0;0;200000;208740;1,0437;3;1087,876;73,26;2520;1
431;138757;1;2;4000;1;2017;MK;IPA;5;1;0;0;266666,67;156196;0,5857;2;10,925;74,43;1629;1
432;138804;1;5;1500;1;2017;MK;IPA;5;1;0;0;100000;135560;1,3556;4;10,925;74,43;1629;1
433;139096;0;1;3500;1;2017;MK;IPA;5;1;0;1;233333,33;162000;0,6943;2;10,925;74,43;1629;1
438;135881;1;1;3150;1;2014;LB;ENI;6;1;0;0;210000;145209;0,6915;4;40,91;71,87;3168;1
441;136519;0;1;8000;1;2015;LB;ENI;6;1;0;0;533333,33;814684;1,5275;4;41,73;72,3;3168;1
445;137274;0;1;3500;1;2016;TK;IPA;6;1;0;1;233333,33;210900;0,9039;4;1087,876;73,26;2516;1
446;137309;0;1;10000;1;2015;SB;IPA;6;1;0;0;666666,67;599588;0,8994;2;39,882;72,48;1370;1
447;137651;1;1;6000;1;2016;SB;IPA;6;1;0;0;400000;385118,58;0,9628;4;40,184;72,13;1370;1
448;137651;1;3;5100;1;2016;SB;IPA;6;1;0;0;340000;288446,76;0,8484;4;40,184;72,13;1370;1
456;138386;1;3;5000;1;2016;TK;IPA;6;1;0;0;333333,33;188000;0,564;4;1087,876;73,26;2520;1
464;131769;1;3;5000;1;2015;TK;IPA;7;1;0;0;333333,33;295500;0,8865;4;1025,467;72,83;2477;1
473;136964;1;2;2100;1;2015;BA;IPA;7;1;0;0;140000;395030;2,8216;2;17,805;69,6;1307;1
474;137033;1;3;12000;1;2015;TK;IPA;7;1;0;0;800000;856250;1,0703;3;1025,467;72,83;2516;1
477;137621;0;1;7600;1;2016;BA;IPA;7;1;0;0;506666,67;668717,3;1,3198;2;18,353;69,76;1307;1
479;138568;1;1;3500;1;2017;BA;IPA;7;1;0;0;233333,33;278763;1,1947;2;18,93;69,76;1307;1
482;134936;1;6;2500;1;2015;TK;IPA;8;1;0;0;166666,67;227828;1,367;3;1025,467;72,83;3018;1
493;131546;1;1;27500;1;2015;TK;IPA;;1;0;0;1833333,33;2880996,3;1,5715;3;1025,467;72,83;2761;1
500;137249;1;2;1000;1;2015;JO;ENI;;1;0;0;66666,67;54041;0,8106;2;29,501;78,2;3324;1
507;138256;1;1;3500;1;2016;ME;IPA;;1;0;0;233333,33;348330,47;1,4928;2;4,529;79,37;1466;1
508;138256;1;2;6000;1;2016;ME;IPA;;1;0;0;400000;580000;1,45;2;4,529;79,37;1466;1
509;138256;1;3;2000;1;2016;ME;IPA;;1;0;0;133333,33;196449;1,4734;2;4,529;79,37;1466;1
